2|17.15
97|35.68
83|08.04
99|64.85
99|71.15
15|00.03
99|54.27
49|90.19
18|02.04
87|31.16
93|33.67
22|41.45
52|89.24
82|55.43
41|54.01
97|67.49
8|29.10
51|01.16
56|75.01
10|81.56
77|25.86
81|40.86
45|84.84
32|78.53
91|07.91
18|08.03
20|08.97
17|58.85
11|71.47
88|34.91
90|24.38
80|77.83
10|95.56
48|44.00
21|29.26
40|85.17
90|44.79
46|90.84
98|24.27
0|70.72
25|57.55
51|75.00
23|82.78
19|56.62
50|45.21
82|74.99
60|58.08
98|37.47
56|11.25
33|37.14
85|68.88
4|39.46
39|93.84
27|70.56
84|63.21
66|15.57
62|29.88
30|31.74
81|97.87
93|47.72
52|33.42
11|03.50
86|97.08
91|27.78
69|53.00
71|91.32
10|89.98
69|51.57
8|17.66
92|69.22
98|79.63
74|39.33
45|24.10
69|89.10
23|96.74
56|30.01
38|00.12
40|82.73
40|36.02
56|05.00
76|49.21
18|50.93
69|20.84
89|78.58
79|77.81
95|85.15
20|81.75
83|37.05
97|24.40
76|34.90
71|04.80
99|22.45
26|01.49
25|69.65
96|86.80
90|48.25
36|00.28
78|47.17
82|55.04
13|24.28
0|07.50
52|53.73
13|12.21
63|06.17
31|81.91
23|49.79
16|71.88
85|29.69
80|40.44
39|10.90
88|41.81
88|09.03
83|55.81
6|03.58
72|32.02
91|78.55
46|53.16
88|07.04
62|88.34
34|67.70
93|26.10
60|53.01
70|10.29
14|49.79
85|48.18
75|68.99
5|96.75
68|06.24
72|46.71
76|77.14
50|09.18
2|02.39
71|26.68
25|31.29
22|83.13
38|70.89
47|25.41
36|17.20
67|43.54
24|94.98
72|40.81
91|69.13
65|34.12
73|29.05
41|18.12
6|10.90
29|11.56
88|16.34
47|53.43
39|02.68
1|98.49
15|22.69
78|09.84
41|39.98
62|44.31
0|96.55
62|15.49
68|74.57
22|98.33
28|60.18
10|43.01
26|02.83
85|71.20
70|80.04
34|13.38
3|42.74
3|58.42
60|51.71
62|03.83
3|94.57
27|77.38
9|95.91
89|83.36
39|38.71
92|57.01
84|26.67
0|13.58
70|24.45
64|36.67
41|80.77
63|49.06
44|10.73
30|85.07
71|37.15
49|31.42
80|82.91
20|96.36
74|35.29
12|82.98
67|63.35
2|35.36
73|48.47
5|67.79
38|36.39
3|07.43
51|03.62
77|48.72
85|12.95
4|22.37
94|87.94
38|00.12
40|94.59
32|96.29
88|59.30
52|28.19
63|04.16
92|96.79
85|58.99
8|07.46
45|02.93
86|96.51
27|89.21
44|71.44
78|89.81
27|86.36
10|81.80
31|93.17
57|97.36
10|25.13
98|40.22
84|22.20
89|97.70
64|79.39
42|72.74
0|86.58
16|67.34
29|07.15
96|61.84
50|02.08
91|76.28
58|70.35
34|26.30
99|04.67
56|98.38
34|68.17
7|73.13
9|66.83
22|20.87
21|43.95
0|86.42
3|96.88
86|28.70
5|74.96
23|56.98
58|91.34
18|47.74
79|26.48
61|22.92
2|85.15
48|54.76
57|39.99
81|23.26
84|00.82
85|50.78
5|64.09
27|61.25
64|87.81
17|17.50
46|46.96
22|50.92
88|15.80
41|82.63
31|81.19
64|05.19
54|43.87
