99|20160506T154907+0200|i74y8tr3-fr2nf-u9y9-4elj-k1plujda1os3|25|70
58|20160506T154807+0200|49ls5fle-enx2n-3k22-owbl-1opnaprbc7b1|44|73
15|20160506T154202+0200|b9p7mmmj-upudx-in0q-0fgp-vqdywd97a6xk|33|73
33|20160506T154324+0200|cjc6p0lm-t7bu7-8wc5-q94a-wo9pblzbcg09|15|47
57|20160506T154624+0200|m86nm0om-1upmg-k6pe-oxu1-qs78wyy7u5eo|96|34
87|20160506T154656+0200|jwxdwyaz-7lyhp-l4st-90bs-9jhvxr1iw91r|58|73
47|20160506T154640+0200|jhrd2109-qbemt-9o5h-u6b7-7xj2hn8b6rfz|91|76
48|20160506T154624+0200|x0uapfzl-wu1bw-luny-wa2m-yb9w0kat9g7i|73|86
19|20160506T154529+0200|aajkri8k-voj3i-6hzn-na4l-cfsadwd1qbwc|71|73
22|20160506T154524+0200|imb9cyo3-wmerg-k868-t567-fu3opnr4j291|71|33
5|20160506T154424+0200|1gct1u14-q46sq-rqqr-ot4x-f0t0njgzmkil|24|69
5|20160506T154357+0200|umk3fr79-hgmq6-vygu-i9me-bqebdw80ktkh|65|44
95|20160506T154408+0200|tx83ronm-xz89q-ci0b-9vl0-nyh31sfu13j8|86|4
41|20160506T154108+0200|inc377nb-dxnww-fry2-cn2v-d58xys33no9d|11|22
80|20160506T154540+0200|ndph513u-xkpc3-i81y-vuvc-xdujq74ypc0l|86|32
97|20160506T154240+0200|45m59o5f-5fq12-e72e-wozt-roqzlsv5yydo|17|18
45|20160506T154130+0200|dizn68uq-rual1-x8va-gh9x-91low4mv7ytx|87|10
38|20160506T154507+0200|l5id2phw-h4tok-ly2g-gase-n4tnfu4n8s4s|46|50
64|20160506T154602+0200|ggrm6fzm-kfjs5-8kxu-222z-d86ncdq9i2v0|88|55
76|20160506T154119+0200|3w5shgrg-qfoqs-pklk-loap-iio9dbgx5p2v|26|9
72|20160506T154734+0200|kobxdcoo-1dra7-aio7-q5oy-1vc229bd8v4q|22|3
58|20160506T154240+0200|pxxomgza-zqroq-3etu-9nhg-mcco1jmaslld|26|31
91|20160506T154945+0200|kl3r7g7d-dr7oy-8mnc-wsv2-fvs7xdsrujix|3|58
81|20160506T154141+0200|4jzhytyt-d5654-mdq8-jbf7-0ohdkftczdt1|59|99
55|20160506T154651+0200|b52ybr3r-1c8aj-dkmz-9wif-tlgn54e25xw1|42|37
83|20160506T154451+0200|qk0lotvv-2whn3-zxoq-1yhu-3s2a0n48sjbj|13|19
4|20160506T154524+0200|w607adm5-vm92p-cpbd-87sj-erqdlr9si89t|62|16
89|20160506T154502+0200|g8ylywpf-c2gx0-xmna-9gpx-5fclssu2jx4w|41|51
88|20160506T154624+0200|j46jdo63-4k38e-wh0f-8d78-4asxvoqfj21c|68|14
95|20160506T154057+0200|hkd6sffm-uljhb-8o3x-37y9-nn0abyiikkr7|95|6
92|20160506T154602+0200|bq9lsdiv-zhmcn-j5z8-3qaq-ijlkg0i9vqdc|77|95
65|20160506T154518+0200|5qth9nvu-1uy3o-3zie-l5zg-6t5m2atg3h8z|86|64
71|20160506T154413+0200|vw9oy9w3-5usub-8hxz-x2en-0p2lb59896yi|73|32
61|20160506T154656+0200|8bs3mm8k-lf0rz-d5cu-2k1h-dl6xe4lrs9di|70|21
98|20160506T154251+0200|mo2ovqwm-yrq5a-tqkq-y2vb-95joeuoivwsd|71|96
95|20160506T154302+0200|8kxpxlrp-909ju-lm68-trpz-49dywuvpjss4|93|98
69|20160506T154213+0200|qzujetr2-5t770-3r2k-ezvq-mk6u7hl9r7yc|75|50
59|20160506T154556+0200|n5o2ign6-e1iyp-a73p-wghm-srqqt3vm8qz4|2|38
43|20160506T154302+0200|5rwp6var-lbyya-ayk4-mx1x-wkyjr8b9yh3s|30|83
40|20160506T154551+0200|qhrju3dk-d1hsk-1bs1-3zcx-z4woibdw0nmq|29|8
52|20160506T154829+0200|l7ptt2b6-u645u-guxe-lkfp-lx0cp6zq0xoo|18|86
65|20160506T154057+0200|mvo20xux-r1c8q-yq88-sslg-b3dz8tesahjx|87|52
3|20160506T154524+0200|6fht18d5-772d4-lepv-78w0-lzlg6n7j7tlt|49|87
19|20160506T154408+0200|0z4k6s1s-itkyg-hokt-dbtw-5mzezupnhk8b|44|80
69|20160506T154540+0200|w708chbq-fafui-pzuc-3b92-dztkj91kzuh7|70|78
5|20160506T154451+0200|xdb5ytki-8oqx2-82so-2vaq-73ufq5gark8y|28|46
23|20160506T154740+0200|ewzgcgt3-erp4i-gngj-0ldd-5pdijzzz8t5s|57|75
37|20160506T154823+0200|lv7eio3v-jwz45-b9uz-1dv0-jou20tiu5gy4|61|81
