65|20160510T190739991+0200|352v5gt6-odlms-ziy2-s0f3-2a38pmoelyyi|53|34
15|20160510T191117791+0200|davq7zfs-8qvwb-p8z7-ijvn-0pwgdbo83uzt|91|91
81|20160510T191234022+0200|hqfztp28-vxl4s-tw85-rzkp-ukx2lb7kagho|86|40
15|20160510T191234022+0200|jo3av7t7-78ds8-51oj-ytm2-n97sdr67zh84|60|50
36|20160510T191344807+0200|1d23kk9x-9z3eu-5m9j-nyae-rx50ib47yhu1|17|99
47|20160510T190729102+0200|zqepdbvi-1fbg0-my59-g0uj-3uxkdky1my9r|99|38
1|20160510T191101457+0200|5bhta83n-z63uv-obnq-mfox-rkmgq3p6hhw1|13|61
33|20160510T191212242+0200|w50mueku-pkh4v-qx5z-sh60-7jkgpv3dcvx9|70|39
84|20160510T191028787+0200|shobkdsm-pro8e-flcy-7n9j-wydimtv3r2c3|45|3
18|20160510T190729102+0200|b673v1js-wpd2u-zkfp-ro6i-cc96wukf3g7p|35|78
47|20160510T191145017+0200|08jni0cr-vjspc-a3la-u1p6-51fq1mlfxwk7|80|50
82|20160510T191234022+0200|6syat5u6-ezt7o-nmx5-wpef-vh4rfo58ei9k|53|48
83|20160510T191206797+0200|aq7hhl0i-ejubz-513z-0sxm-hzmky6r94o0p|77|31
59|20160510T191050567+0200|5x7mdgkt-j69a0-5e38-ho7y-kmromd5bnfq0|54|16
64|20160510T190923447+0200|utmbyaeo-mfulw-q6nz-4tx6-leufhk04u9su|12|16
34|20160510T190850777+0200|48e09s6j-8j694-gdvm-ms6p-zs47f939mjte|73|71
70|20160510T191106902+0200|bni570ii-8imjk-afxq-54bq-b21s64qaegd8|32|63
17|20160510T191501037+0200|osbvo7hv-lpjrw-0c6u-c41w-qfpo1tm7p3jf|13|54
7|20160510T191422922+0200|acpzbc5s-kdbyy-rfff-ecpc-ufz1c29wc76k|42|5
31|20160510T191450147+0200|458uoa6d-ae1db-vqjp-xfr0-xiz2hfx6ny41|43|44
62|20160510T191212242+0200|guig508w-yaxnv-y5lg-8kfh-dp2nnaqdovfx|52|13
27|20160510T191339362+0200|pk5hpcgu-vudrf-3ven-f3rl-5w8b88merbpc|19|1
50|20160510T191155907+0200|t2lrezi9-7qagk-qx7r-jvs0-tudmfjziaqzo|98|31
72|20160510T190901667+0200|z08cclqm-k6lsj-l6h0-u8an-c7o18dpxqvyz|83|17
12|20160510T191333917+0200|p71lv7pg-3pmk7-ma0e-1nwh-52mfe7ysa7mc|91|87
98|20160510T191128682+0200|llhj3n5r-1i4sq-u0ri-7wt0-yj44m7v16dtb|15|48
99|20160510T190834442+0200|qsnjzaan-ssrek-jwwm-amzd-fq8anvvm46ld|75|14
39|20160510T191250357+0200|fv0hbs1w-8quaa-aocr-eo5n-4179oy20igj1|91|52
30|20160510T190807217+0200|iytpc0nt-1xmqt-x3qh-kj3b-3fsm6hrgnlsj|9|85
70|20160510T191250357+0200|psc5u9tv-33ukl-mfqj-k950-oe5n5tomkabx|61|80
44|20160510T191522817+0200|86oohrmb-x1jvu-iurg-mcb5-mna24nwp14s4|73|86
20|20160510T191212242+0200|9m2jyclp-g85w3-is73-oxkh-sneytzks82qu|51|82
91|20160510T190834442+0200|i10bk2sh-b64u4-ylvi-dk6q-e4xs91g4tfx1|97|48
42|20160510T190839887+0200|1rn9ddhk-n0ekt-ekmx-9jx7-5l25r2yp6q8f|0|72
2|20160510T190939782+0200|3qb4aq3r-4wfbo-e292-8v4e-yqrq25juub59|58|73
